museum_name	address	city	state	phone_number	email	website	requirements
Lincoln Children's Museum	1420 P St, Lincoln, NE 68508-1635	Lincoln	NE	(402) 477-4000	info@lincolnchildrensmuseum.org	https://lincolnchildrensmuseum.org/	
Fleischmann Planetarium and Science Center	1664 N Virginia St, Reno, NV 89557	Reno	NV	(775) 784-4812	planetarium@unr.edu	https://www.unr.edu/planetarium	Proof of Residence Required
Adler Planetarium	1300 S Dusable Lake Shore Dr, Chicago, IL 60605	Chicago	IL				Proof of Residence Required
Strategic Air Command and Aerospace Museum	28210 W Park Hwy, Ashland, NE 68003	Ashland	NE	(402) 944-3100	info@sacmuseum.org	https://www.sacmuseum.org/	Proof of Residence Required
University of Nebraska State Museum of Natural History-Morrill Hall	Morrill Hall, 645 N 14th St, Lincoln, NE 68588	Lincoln	NE	(402) 472-2637	unsmmembership@unl.edu	https://museum.unl.edu	
Las Vegas Natural History Museum	900 Las Vegas Blvd N, Las Vegas, NV 89101	Las Vegas	NV	(702) 384-3466	dino@lvnhm.org	https://www.lvnhm.org/	Proof of Residence Required
McAuliffe-Shepard Discovery Center	2 Institute Dr, Concord, NH 03301	Concord	NH	(603) 271-7827	kthompson@starhop.com	https://www.starhop.com/	Proof of Residence Required
Liberty Science Center	222 Jersey City Blvd, Jersey City, NJ 07305	Jersey City	NJ	(201) 200-1000	members@lsc.org	https://lsc.org/	Proof of Residence Required
Bradbury Science Museum, Los Alamos National Laboratory	1350 Central Ave, Los Alamos, NM 87544	Los Alamos	NM				Proof of Residence Required
LaunchPAD Children's Museum	623 Pearl St, Sioux City, IA 51101	Sioux City	IA				
The Children's Museum of New Hampshire	6 Washington St, Dover, NH 03820	Dover	NH	(603) 742-2002	questions@childrens-museum.org	https://www.childrens-museum.org/	
New Jersey State Museum	205 West State Street, Trenton, NJ 08608	Trenton	NJ	(609) 292-6464	NJSM.Info@sos.nj.gov	https://www.nj.gov/state/museum/	
Explora	1701 Mountain Rd NW, Albuquerque, NM 87104	Albuquerque	NM	(505) 600-6072	explora@explora.us	https://www.explora.us/	
Farmington Museum	3041 E Main St, Farmington, NM 87402	Farmington	NM	(505) 599-1174	naugustine@farmingtonnm.gov	https://www.farmingtonnm.gov/248/Farmington-Museum-at-Gateway-Park	Proof of Residence Required
Brooklyn Children's Museum	145 Brooklyn Avenue, Brooklyn, NY 11213	Brooklyn	NY	(718) 735-4400	membership@brooklynkids.org	https://www.brooklynkids.org/	Proof of Residence Required
Science Center of Iowa	401 Martin Luther King Jr Pkwy, Des Moines, IA 50309	Des Moines	IA	(515) 274-6868	membership@sciowa.org	https://www.sciowa.org/	
New Mexico Museum of Natural History and Science	1801 Mountain Rd NW, Albuquerque, NM 87104	Albuquerque	NM	(505) 841-2800	info@naturalhistoryfoundation.org	https://www.nmnaturalhistory.org/	Proof of Residence Required
The New Mexico Museum of Space History	3198 State Route 2001, Alamogordo, NM 88310	Alamogordo	NM	(575) 437-2840		https://www.nmspacemuseum.org/	
Buffalo Museum of Science	1020 Humboldt Pkwy, Buffalo, NY 14211	Buffalo	NY	(716) 896-5200	membership@sciencebuff.org	https://www.sciencebuff.org/	
Corning Museum of Glass	1 Museum Way, Corning, NY 14830	Corning	NY	(607) 438-5600	membership@cmog.org	https://www.cmog.org/	
Cradle of Aviation Museum	Charles Lindbergh Boulevard, Garden City, NY 11530	Garden City	NY	(516) 572-4111		https://www.cradleofaviation.org/	Proof of Residence Required
Intrepid Museum	1 Intrepid Sq, 12th Avenue & West 46th Street, New York, NY 10036	New York	NY	(646) 381-5030	membership@intrepidmuseum.org	https://intrepidmuseum.org/	Proof of Residence Required
Kopernik Observatory & Science Center	698 Underwood Rd, Vestal, NY 13850	Vestal	NY	(607) 748-3685	info@kopernik.org	https://www.kopernik.org/	
Long Island Children's Museum	11 Davis Ave, Garden City, NY 11530	Garden City	NY	(516) 224-5800	membership@licm.org	https://www.licm.org/	Proof of Residence Required
Long Island Explorium	101 E Broadway, Port Jefferson, NY 11777	Port Jefferson	NY	(631) 331-3277	Info@Longislandexplorium.org	https://longislandexplorium.org/	
Mid-Hudson Discovery Museum	75 N Water St, Poughkeepsie, NY 12601-1720	Poughkeepsie	NY	(845) 471-0589	info@mhdm.org	https://mhdm.org/	Proof of Residence Required
miSci (Museum of Innovation and Science)	15 Museum Dr., Schenectady, NY 12308	Schenectady	NY	(518) 382-7890	membership@misci.org	https://www.misci.org/	Proof of Residence Required
Museum of Science & Technology (MOST)	500 S Franklin St, Syracuse, NY 13202	Syracuse	NY	(315) 425-9068	membership@most.org	https://www.most.org	Proof of Residence Required
Museum of the Earth at the Paleontological Research Institution	1259 Trumansburg Rd, Ithaca, NY 14850	Ithaca	NY	(607) 273-6623	membership@priweb.org	https://www.museumoftheearth.org/	
National Museum of Mathematics (MoMath)	225 5th Ave, New York, NY 10010	New York	NY	(212) 542-0566	membership@momath.org	https://momath.org/	Proof of Residence Required
New York Hall of Science	4701 111th St, Corona, NY 11368	Corona	NY	(718) 699-0005	membership@nysci.org	https://nysci.org/	Proof of Residence Required
New York Transit Museum	99 Schermerhorn St, Brooklyn, NY 11201	Brooklyn	NY	(718) 694-1600	membership@nytransitmuseum.org	https://www.nytransitmuseum.org/	Proof of Residence Required
Roberson Museum	30 Front St, Binghamton, NY 13905	Binghamton	NY	(607) 772-0660	membership@roberson.org	https://www.roberson.org/	
Rochester Museum & Science Center	657 East Ave, Rochester, NY 14607	Rochester	NY	(585) 271-4320	info@rmsc.org	https://rmsc.org/	
Sciencenter	601 1st St, Ithaca, NY 14850	Ithaca	NY	(607) 272-0600	membership@sciencenter.org	https://sciencenter.org/	Proof of Residence Required
Sci-Tech Museum	154 Stone St, Watertown, NY 13601	Watertown	NY	(315) 788-1340	scitech@scitechcenter.org	https://www.scitechcenter.org/	
Airlie Gardens	300 Airlie Road, Wilmington, NC 28403	Wilmington	NC	(910) 798-7700	airlieinfo@nhcgov.com	https://airliegardens.org/	Proof of Residence Required
Asheville Museum of Science	43 Patton Ave, Asheville, NC 28801	Asheville	NC	(828) 254-7162	memberships@ashevillescience.org	https://ashevillescience.org/	Proof of Residence Required
Staten Island Children's Museum	1000 Richmond Ter, Staten Island, NY 10301	Staten Island	NY	(718) 273-2060	donorservices@sichidrensmuseum.org	https://sichildrensmuseum.org/	Proof of Residence Required
Wings of Eagles Discovery Center	339 Daniel Zenker Dr, Horseheads, NY 14845	Horseheads	NY	(607) 358-4247	info@wingsofeagles.com	https://www.wingsofeagles.com/	
renovations. Catawba Science Center	243 3rd Avenue NE, Hickory, NC 28601	Hickory	NC	(828) 322-8169	membership@catawbascience.org	https://catawbascience.org/	Proof of Residence Required
Children's Museum & Science Center, Imperial Centre for the Arts & Sciences	270 Gay St, Rocky Mount, NC 27804	Rocky Mount	NC	(252) 972-1266	info@imperialcentre.org	https://imperialcentre.org/	
Discovery Place	301 N Tryon St, Charlotte, NC 28202	Charlotte	NC	(704) 372-6261	Members@discoveryplace.org	https://www.discoveryplace.org/	Proof of Residence Required
Discovery Place Kids Huntersville	105 Gilead Rd, Huntersville, NC 28078	Huntersville	NC	(704) 286-8302	askus@discoveryplace.org	https://kids.discoveryplace.org/huntersville/	Proof of Residence Required
Hands On! Children's Museum	318 N Main St, Hendersonville, NC 28792-0407	Hendersonville	NC	(828) 697-8333	info@handsonwnc.org	https://handsonwnc.org/	
Imagination Station Science and History Museum	224 Nash St SE, Wilson, NC 27893	Wilson	NC	(252) 291-5113	info@imaginescience.org	https://scienceandhistory.org/	
Kaleideum	120 W Third Street, Winston-Salem, NC 27101	Winston-Salem	NC	(336) 767-6730	info@kaleideum.org	https://www.kaleideum.org/	Proof of Residence Required
Marbles Kids Museum	201 East Hargett Street, Raleigh, NC 27601	Raleigh	NC	(919) 834-4040	membership@marbleskidsmuseum.org	https://www.marbleskidsmuseum.org/	Proof of Residence Required
Morehead Planetarium and Science Center	250 E Franklin St, Chapel Hill, NC 27514	Chapel Hill	NC	(919) 962-1236	mpscmembers@email.unc.edu	https://moreheadplanetarium.org/	Proof of Residence Required
Museum of Coastal Carolina and Ingram Planetarium	21 E 2nd St, Ocean Isle Beach, NC 28469	Ocean Isle Beach	NC	(910) 579-1016	marketing@museumplanetarium.org	https://www.museumplanetarium.org	Proof of Residence Required
Museum of Life and Science	433 W Murray Ave, Durham, NC 27704	Durham	NC	(919) 220-5429	membership@lifeandscience.org	https://www.lifeandscience.org/	Proof of Residence Required
North Carolina Museum of Natural Sciences	11 W Jones St, Raleigh, NC 27601	Raleigh	NC	(919) 707-9800	membership@naturalsciences.org	https://naturalsciences.org/	
Discovery Station at Hagerstown	14326 Barrick Ave, Cascade, MD 21719	Cascade	MD	(301) 790-0076	info@discoverystation.org	https://discoverystation.org/	
Port Discover	611 E Main St, Elizabeth City, NC 27909	Elizabeth City	NC	(252) 338-6117	go@portdiscover.org	https://www.portdiscover.org/	Proof of Residence Required
Schiele Museum of Natural History and Planetarium	1500 E Garrison Blvd, Gastonia, NC 28054	Gastonia	NC	(704) 866-6900	SchieleMuseum@gmail.com	https://www.schielemuseum.org/	Proof of Residence Required
Western North Carolina Nature Center	75 Gashes Creek Rd, Asheville, NC 28805	Asheville	NC	(828) 259-8080	membership@wildwnc.org	https://wildwnc.org/	
Magic City Discovery Center	1545 1st St NW, Minot, ND 58703	Minot	ND	(701) 858-7529	info@magiccitydiscoverycenter.com	https://www.magiccitydiscoverycenter.com/	Proof of Residence Required
Boonshoft Museum of Discovery	2600 Deweese Pkwy, Dayton, OH 45414	Dayton	OH	(937) 275-7431	membership@boonshoftmuseum.org	https://boonshoft.org/	Proof of Residence Required
Cincinnati Museum Center	1301 Western Ave, Cincinnati, OH 45203	Cincinnati	OH	(513) 287-7000	membership@cincymuseum.org	https://www.cincymuseum.org/	Proof of Residence Required
Cleveland Museum of Natural History	1 Wade Oval Dr, Cleveland, OH 44106	Cleveland	OH	(216) 231-4600	membership@cmnh.org	https://www.cmnh.org/	Proof of Residence Required
North Dakota's Gateway to Science	1600 Canary Avenue, Bismarck, ND 58501	Bismarck	ND	(701) 258-1975	memberships@gscience.org	https://gatewaytoscience.org/	Proof of Residence Required
Berkshire Museum	39 South St, Pittsfield, MA 01201	Pittsfield	MA	(413) 443-7171	membership@berkshiremuseum.org	https://berkshiremuseum.org/	Proof of Residence Required
Great Lakes Science Center	601 Erieside Ave, Cleveland, OH 44114	Cleveland	OH	(216) 694-2000	membership@glsc.org	https://greatscience.com/	Proof of Residence Required
Imagination Station, Toledo	1 Discovery Way, Toledo, OH 43604	Toledo	OH	(419) 244-2674	membership@istscience.org	https://www.imaginationstationtoledo.org/	Proof of Residence Required
McKinley Presidential Library & Museum	800 McKinley Monument Dr NW, Canton, OH 44708	Canton	OH	(330) 455-7043	zeverman@mckinleymuseum.org	https://mckinleymuseum.org/	
OH WOW! The Roger & Gloria Jones Children's Center for Science & Technology	15 Central Square, Youngstown, OH 44503	Youngstown	OH	(330) 744-5914	technology@OHWOWKids.org	https://ohwowkids.org/	
Discovery Lab	3123 Riverside Drive, Tulsa, OK, 74105	Tulsa	OK	(918) 295-8144	membership@discoverylab.org	https://discoverylab.org/	Proof of Residence Required
SPI: Where Science and Play Intersect	400 South Main Street, Mount Vernon, OH 43050	Mount Vernon	OH	(740) 501-7616	spispothelpers@gmail.com	https://www.spi-mountvernon.org/	Proof of Residence Required
The Works: Ohio Center for History, Art and Technology	55 S 1st St, Newark, OH 43055	Newark	OH	(740) 349-9277	info@attheworks.org	https://attheworks.org/	Proof of Residence Required
Air Zoo	6151 Portage Rd, Portage, MI 49002	Portage	MI				Proof of Residence Required
Evergreen Aviation & Space Museum	500 NE Captain Michael King Smith Way, McMinnville, OR 97128	McMinnville	OR	(503) 434-4180	membership@evergreenmuseum.org	https://www.evergreenmuseum.org/	Proof of Residence Required
Gilbert House Children's Museum	116 Marion Street NE, Salem, OR 97301	Salem	OR	(503) 371-3631	membership@acgilbert.org	https://acgilbert.org/	Proof of Residence Required
Oregon Museum of Science and Industry	1945 SE Water Ave, Portland, OR 97214	Portland	OR	(503) 797-4000	info@omsi.edu	https://omsi.edu/	Proof of Residence Required
ScienceWorks Hands-On Museum	1500 E Main St, Ashland, OR 97520	Ashland	OR	(541) 482-6767	info@scienceworksmuseum.org	https://scienceworksmuseum.org/	
Sunriver Nature Center & Observatory	57245 River Rd, Sunriver, OR 97707	Sunriver	OR	(541) 593-4394	info@snco.org	https://snco.org/	
University of Oregon Museum of Natural and Cultural History	1680 East 15th Ave, Eugene, OR 97403	Eugene	OR	(541) 346-3024	mnchvisitorservices@uoregon.edu	https://mnch.uoregon.edu/	Proof of Residence Required
Children's Museum of Pittsburgh	10 Childrens Way, Pittsburgh, PA 15212	Pittsburgh	PA	(412) 322-5058	members@pittsburghkids.org	https://pittsburghkids.org/	Proof of Residence Required
Da Vinci Science Center	815 West Hamilton Street, Allentown, PA 18101	Allentown	PA	(484) 664-1002	members@davincisciencecenter.org	https://www.davincisciencecenter.org/	
Discovery Space of Central Pennsylvania	1224 N Atherton St, State College, PA 16803	State College	PA	(814) 234-0200	FrontDesk@DiscoverySpace.org	https://discoveryspace.org/	Proof of Residence Required
expERIEnce Children's Museum	420 French St, Erie, PA 16507	Erie	PA	(814) 453-3743	kristina@eriechildrensmuseum.org	https://www.eriechildrensmuseum.org/	Proof of Residence Required
Kamin Science Center	1 Allegheny Ave, Pittsburgh, PA 15212	Pittsburgh	PA	(412) 237-3400	membership@KaminScienceCenter.org	https://kaminsciencecenter.org/	Proof of Residence Required
Lacawac Sanctuary Foundation	94 Sanctuary Rd, Lake Ariel, PA 18436-6149	Lake Ariel	PA	(570) 689-9494	info@lacawac.org	https://www.lacawac.org/	
Lancaster Science Factory	454 New Holland Ave, Lancaster, PA 17602	Lancaster	PA	(717) 509-6363	info@tlsf.org	https://www.lancastersciencefactory.org/	
Lewisburg Children's Museum	815 Market Street Suite 14, Lewisburg, PA 17837	Lewisburg	PA	(570) 768-4914	info@lewisburgchildrensmuseum.org	https://www.lewisburgchildrensmuseum.org	Proof of Residence Required
Moonshot Museum	1016 N. Lincoln Ave., Pittsburgh, PA 15233	Pittsburgh	PA	(412) 314-4111	hello@moonshotmuseum.org	https://moonshotmuseum.org/	Proof of Residence Required
National Watch & Clock Museum	514 Poplar St, Columbia, PA 17512	Columbia	PA	(717) 684-8261		https://museum.nawcc.org	
North Museum of Nature and Science	400 College Ave, Lancaster, PA 17603	Lancaster	PA	(717) 358-3941	membership@northMuseum.org	https://northmuseum.org/	Proof of Residence Required
Reading Public Museum	500 Museum Rd, Reading, PA 19611	Reading	PA	(610) 371-5850	membership@readingpublicmuseum.org	https://www.readingpublicmuseum.org/	
The Academy of Natural Sciences of Drexel University	1900 Benjamin Franklin Pkwy, Philadelphia, PA 19103	Philadelphia	PA	(215) 299-1022	membership@ansp.org	https://ansp.org/	Proof of Residence Required
The Franklin Institute	222 N 20th St, Philadelphia, PA 19103	Philadelphia	PA	(215) 448-1200	membership@fi.edu	https://fi.edu/en	Proof of Residence Required
The State Museum of Pennsylvania	300 North St, Harrisburg, PA 17120	Harrisburg	PA	(717) 787-4980	RA-phstatemuseum@pa.gov	http://statemuseumpa.org/	Proof of Residence Required
Whitaker Center for Science and the Arts	222 Market Street, Harrisburg, PA 17101	Harrisburg	PA	(717) 214-2787	info@whitakercenter.org	https://www.whitakercenter.org/	Proof of Residence Required
Centro Criollo de Ciencia y Tecnologia del Caribe	59 Gautier Benitez, Caguas, PR 00725	Caguas	PR	(787) 653-6391	info@c3tec.org	https://www.c3tec.org/	
Providence Children's Museum	100 South St, Providence, RI 02903	Providence	RI	(401) 273-5437	Membership@ChildrenMuseum.org	https://providencechildrensmuseum.org/	Proof of Residence Required
Roper Mountain Science Center	402 Roper Mountain Rd, Greenville, SC 29615	Greenville	SC	(864) 355-8900	apyle@greenville.k12.sc.us	https://www.ropermountain.org/	
EcoExploratorio	525 Ave. Franklin Delano Roosevelt, Plaza las Americas Local 168 (second level), San Juan, PR	San Juan	PR	(787) 281-9090	info@ecoexploratorio.org	https://ecoexploratorio.org/	
South Dakota Discovery Center	805 W Sioux Ave, Pierre, SD 57501	Pierre	SD	(605) 224-8295	info@sd-discovery.org	https://sd-discovery.org/	
Adventure Science Center	800 Fort Negley Blvd, Nashville, TN 37203	Nashville	TN	(615) 862-5160	membership@adventuresci.org	https://www.adventuresci.org/	Proof of Residence Required
Children's Museum of Oak Ridge	461 W Outer Dr, Oak Ridge, TN 37830-3714	Oak Ridge	TN	(865) 482-1074	cmor@childrensmuseumofoakridge.org	https://childrensmuseumofoakridge.org	Proof of Residence Required
Discovery Center at Murfree Spring	502 SE Broad St, Murfreesboro, TN 37130	Murfreesboro	TN	(615) 890-2300	info@explorethedc.org	https://explorethedc.org/	Proof of Residence Required
Discovery Park of America	830 Everett Blvd, Union City, TN 38261	Union City	TN	(731) 885-5455	info@discoveryparkofamerica.com	https://discoveryparkofamerica.com/	Proof of Residence Required
Michigan Science Center	5020 John R St, Detroit, MI 48202	Detroit	MI	(313) 577-8400	membership@mi-sci.org	https://www.mi-sci.org/	
Hands On! Discovery Center	1212 Suncrest Dr, Gray, TN 37615	Gray	TN	(423) 434-4263	handson@visithandson.org	https://visithandson.org/	Proof of Residence Required
Hands-On Science Center	101 Mitchell Blvd, Tullahoma, TN 37388	Tullahoma	TN	(931) 455-8387	info@hosctn.org	https://www.hosc.org/	
Lichterman Nature Center	5992 Quince Road, Memphis, TN 38119	Memphis	TN	(901) 636-2211	info@moshmemphis.com	https://moshmemphis.com/explore/lichterman-nature-center/	Proof of Residence Required
McClung Museum of Natural History and Culture	1327 Circle Park Drive, Knoxville, TN 37996	Knoxville	TN	(865) 974-2144	museum@utk.edu	https://mcclungmuseum.utk.edu/	
Bledsoe Miller STEAM Center	300 N. Martin Luther King Jr. Blvd., Waco, TX 76704	Waco	TX	(254) 795-0231	lhelton@transformationwaco.org	https://www.wacosteamcenter.org/	
Children's Museum Houston	1500 Binz St, Houston, TX 77004	Houston	TX	(713) 522-1138	membership@cmhouston.org	https://www.cmhouston.org/	Proof of Residence Required
Memphis Museums of Science and History	3050 Central Ave, Memphis, TN 38111	Memphis	TN	(901) 636-2362	info@moshmemphis.com	https://www.memphismuseums.org/	Proof of Residence Required
Muse Knoxville	516 N Beaman St, Knoxville, TN 37914	Knoxville	TN	(865) 594-1494	shelby@themuseknoxville.org	https://www.themuseknoxville.org/	Proof of Residence Required
Pavek Museum of Electronic Communication	3517 Raleigh Avenue, St. Louis Park, MN 55416	St. Louis Park	MN	(952) 926-8198	contact@pavekmuseum.org	https://www.pavekmuseum.org/	
Don Harrington Discovery Center	1200 Streit Dr, Amarillo, TX 79106	Amarillo	TX	(806) 355-9547		https://discoverycenteramarillo.org/	
Fort Worth Museum of Science and History	1600 Gendy St, Fort Worth, TX 76107	Fort Worth	TX	(817) 255-9300	membership@fwmsh.org	https://www.fwmuseum.org/	Proof of Residence Required
Heard Natural Science Museum & Wildlife Sanctuary	1 Nature Pl, McKinney, TX 75069	McKinney	TX	(972) 562-5566	info@heardmuseum.org	https://www.heardmuseum.org/	Proof of Residence Required
International Museum of Art & Science	1900 W Nolana Avenue, McAllen, TX 78504	McAllen	TX	(956) 681-2800	memberships@theimasonline.com	https://theimasonline.org/	Proof of Residence Required
La Nube STEAM Discovery Center	201 W Main Dr, El Paso, TX 79901	El Paso	TX	(915) 290-4111	membership@la-nube.org	https://la-nube.org/	Proof of Residence Required
Longview World of Wonders	112 E Tyler St, Longview, TX 75601	Longview	TX	(903) 212-4969	office@longviewwow.org	https://www.longviewwow.org/	
Mayborn Museum, Baylor University	1300 S University Parks Dr, Waco, TX 76706	Waco	TX	(254) 710-1180	Mayborn_Museum_Membership@baylor.edu	https://www.baylor.edu/mayborn	Proof of Residence Required
Mayborn Science Theater	6200 W Central Texas Expy, Central Texas College Main Campus, Killeen, TX 76549	Killeen	TX	(254) 526-1800		http://www.starsatnight.org/	
McDonald Observatory & Frank N. Bash Visitors Center	3640 Dark Sky Dr, McDonald Obs, TX 79734	McDonald Obs	TX	(432) 426-3640	friends@mcdonaldobservatory.org	https://mcdonaldobservatory.org/	
Perot Museum of Nature and Science	2201 N Field St, Dallas, TX 75201	Dallas	TX	(214) 428-5555	membership@perotmuseum.org	https://www.perotmuseum.org/	Proof of Residence Required
Science Spectrum	2579 South Loop 289, Lubbock, TX 79423	Lubbock	TX	(806) 745-2525		https://www.sciencespectrum.org	Proof of Residence Required
Space Center Houston	1601 NASA Parkway, Houston, TX 77058	Houston	TX	(281) 244-2100	membership@spacecenter.org	https://spacecenter.org/	Proof of Residence Required
Texas Science & Natural History Museum	2400 Trinity St, Austin, TX 78712-1620	Austin	TX	(512) 232-0886	TMM.membership@austin.utexas.edu	https://sciencemuseum.utexas.edu/	Proof of Residence Required
The Discovery Science Place	308 North Broadway Avenue, Tyler, TX 75702	Tyler	TX	(903) 533-8011	info@discoveryscienceplace.org	https://www.discoveryscienceplace.org/	Proof of Residence Required
The DoSeum	2800 Broadway, San Antonio, TX 78209	San Antonio	TX	(210) 212-4453	membership@thedoseum.org	https://www.thedoseum.org/	Proof of Residence Required
The Health Museum	1515 Hermann Dr, Houston, TX 77004	Houston	TX	(713) 521-1515	membership@thehealthmuseum.org	https://thehealthmuseum.org/	Proof of Residence Required
Thinkery	1830 Simond Ave, Austin, TX 78723	Austin	TX	(512) 469-6200	info@thinkeryaustin.org	https://thinkeryaustin.org/	Proof of Residence Required
Clark Planetarium	110 S 400 W, Salt Lake City, UT 84101	Salt Lake City	UT	(385)-468-7827		https://www.saltlakecounty.gov/clark-planetarium	
Hutchings Museum	55 N Center St, Lehi, UT 84043	Lehi	UT	(801) 768-7361	info@jhutchingsmuseum.com	http://www.jhutchingsmuseum.com/	
Witte Museum	3801 Broadway, San Antonio, TX 78209	San Antonio	TX	(210) 357-1900	Membership@WitteMuseum.org	https://www.wittemuseum.org	Proof of Residence Required
Swaner Preserve and EcoCenter	1258 Center Drive, Park City, UT 84098	Park City	UT	(435) 649-1767	swanerecocenter@usu.edu	https://swanerecocenter.org/	
ECHO, Leahy Center for Lake Champlain	1 College St, Burlington, VT 05401	Burlington	VT	(802) 864-1848	info@echovermont.org	https://www.echovermont.org/	Proof of Residence Required
Children’s Science Center Lab	11948L Fair Oaks Mall, Fairfax, VA 22033	Fairfax	VA	(703) 648-3130	membership@childsci.org	https://childsci.org/	Proof of Residence Required
Children's Museum of Virginia	221 High St, Portsmouth, VA 23704	Portsmouth	VA	(757) 393-8983	colstone@portsmouthva.gov	https://childrensmuseumvirginia.com/	Proof of Residence Required
Danville Science Center	677 Craghead Street, Danville, VA 24541	Danville	VA	(434) 791-5160	dscgs@smv.org	https://dsc.smv.org/	Proof of Residence Required
Fairbanks Museum & Planetarium	1302 Main St, St Johnsbury, VT 05819	St Johnsbury	VT	(802) 748-2372	info@fairbanksmuseum.org	https://www.fairbanksmuseum.org/	
Nauticus	1 Waterside Dr, Norfolk, VA 23510	Norfolk	VA	(757) 664-1000	Membership@nauticus.org	https://nauticus.org/	Proof of Residence Required
Science Museum of Virginia	2500 W Broad St, Richmond, VA 23220	Richmond	VA	(804) 864-1400	info@smv.org	https://www.smv.org/	Proof of Residence Required
Virginia Air and Space Science Center	600 Settlers Landing Rd, Hampton, VA 23669	Hampton	VA	(757) 727-0900 (ext. 735)	kcharity@vasc.org	https://www.vasc.org/	Proof of Residence Required
Virginia Discovery Museum	524 E Main St, Charlottesville, VA 22902	Charlottesville	VA	(434) 977-1025	matt@vadm.org	https://www.vadm.org/	
KidsQuest Children's Museum	1116 108th Ave NE, Bellevue, WA 98004	Bellevue	WA	(425) 637-8100	membership@kidsquestmuseum.org	https://www.kidsquestmuseum.org/	Proof of Residence Required
Mobius Discovery Center	331 N Post St, Spokane, WA 99201	Spokane	WA	(509) 321-7121		https://mobiusdiscoverycenter.org/	Proof of Residence Required
Virginia Living Museum	524 J Clyde Morris Blvd, Newport News, VA 23601	Newport News	VA	(757) 595-1900	membership@thevlm.org	https://thevlm.org/	Proof of Residence Required
Virginia Museum of Natural History	21 Starling Avenue, Martinsville, VA 24112	Martinsville	VA	(276) 634-4141	information@vmnh.virginia.gov	https://www.vmnh.net/	
Pacific Science Center	200 Sue Bird Court N., Seattle, WA 98109	Seattle	WA	(206) 443-2924	membership@pacsci.org	https://www.pacificsciencecenter.org/	Proof of Residence Required
REACH Museum	1943 Columbia Park Trail, Richland, WA 99352	Richland	WA	(509) 943-4100	britaniam@visitthereach.us	https://visitthereach.us/	
The Museum of Flight Foundation	9404 E Marginal Way S, Tukwila, WA 98108	Tukwila	WA	(206) 764-5700	grouptours@miflightmuseum.org	https://www.museumofflight.org/	
Clay Center for the Arts and Sciences of West Virginia	1 Clay Sq, Charleston, WV 25301	Charleston	WV	(304) 561-3500	info@theclaycenter.org	https://www.theclaycenter.org/	Proof of Residence Required
Barlow Planetarium	1478 Midway Road, Menasha, WI 54952	Menasha	WI	(920) 832-2848	tgee@winnebagocountywi.gov	https://barlow.winnebagocountywi.gov/	Proof of Residence Required
Building for Kids Children's Museum	100 W College Ave, Appleton, WI 54911	Appleton	WI				Proof of Residence Required
Yakima Valley Museum	2105 Tieton Dr, Yakima, WA 98902-3766	Yakima	WA	(509) 248-0747	liz@yvmuseum.org	https://www.yvmuseum.org/	Proof of Residence Required
Huntington Museum of Art	2033 McCoy Rd, Huntington, WV 25701	Huntington	WV	(304) 529-2701		https://www.hmoa.org/	Proof of Residence Required
Cable Natural History Museum	PO Box 416, 13470 County Hwy M, Cable, WI, 54821	Cable	WI	(715) 798-3890	info@cablemuseum.org	https://www.cablemuseum.org/	
Children's Museum of Eau Claire	126 N Barstow St, Eau Claire, WI 54703	Eau Claire	WI	(715) 832-5437	Hello@ChildrensMuseumEC.com	https://www.childrensmuseumec.com/	Proof of Residence Required
Children's Museum of La Crosse	207 5th Ave S, La Crosse, WI 54601	La Crosse	WI	(608) 784-2652	info@funmuseum.org	https://www.funmuseum.org/	Proof of Residence Required
Discovery World	500 N Harbor Dr, Milwaukee, WI 53202	Milwaukee	WI	(414) 765-9966	membership@discoveryworld.org	https://www.discoveryworld.org/	Proof of Residence Required
EAA Aviation Museum	3000 Poberezny Rd, Oshkosh, WI 54902	Oshkosh	WI	(920) 426-4800	membership@eaa.org	https://www.eaa.org/eaa	Proof of Residence Required
Madison Children's Museum	100 N Hamilton St, Madison, WI 53703	Madison	WI	(608) 256-6445	membership@madisonchildrensmuseum.org	https://madisonchildrensmuseum.org/	Proof of Residence Required
Milwaukee Public Museum	800 W Wells St, Milwaukee, WI 53233	Milwaukee	WI	(414) 278-2700	MuseumNews@mpm.edu	http://www.mpm.edu/	
National Railroad Museum	2285 S Broadway, Green Bay, WI 54304	Green Bay	WI	(920) 437-7623	members@nationalrrmuseum.org	https://nationalrrmuseum.org/	
Neville Public Museum	210 Museum Pl, Green Bay, WI 54303	Green Bay	WI	(920) 448-4460	generalinfo@nevillepublicmuseum.org	https://www.nevillepublicmuseum.org	Proof of Residence Required
American Computer & Robotics Museum	2023 Stadium Dr, Bozeman, MT 59715	Bozeman	MT				
Omaha Children's Museum	500 S 20th St, Omaha, NE 68102	Omaha	NE	(402) 342-6164	membership@ocm.org	https://ocm.org/about/	
The Discovery	490 S Center St, Reno, NV 89501	Reno	NV	(775) 786-1000	info@nvdm.org	https://nvdm.org/	
SEE Science Center	200 Bedford St, Manchester, NH 03101	Manchester	NH	(603) 669-0400	info@see-sciencecenter.org	https://see-sciencecenter.org/	
National Museum of Nuclear Science & History	601 Eubank Boulevard SE, Albuquerque, NM 87123	Albuquerque	NM	(505) 245-2137		https://www.nuclearmuseum.org/	
Cape Fear Museum of History and Science	230 Grace Street, Wilmington, NC 28401	Wilmington	NC				
